Solute_encoded,Solvent_encoded,Potential_ID,Alpha,Mu,Sigma,solvent_density,solvent_shear,solute_density,solute_shear,PC2,PC3,PC4,PC5,density_ratio,density_diff,density_mismatch_pct,shear_ratio,shear_diff,shear_mismatch_pct,combined_mismatch
6,0,1,2.2,-2,-0.3146093208593097,0.0630078117636515,-0.8727210902602789,-0.37297739153546255,0.5296405139367074,0.39503952568994144,0.02889180799623978,-0.4970140923967696,-0.675332015574966,-5.919542055111157,-0.43598520329911405,6.919542055111157,-0.606884054765708,1.4023616041969862,-1.6068840547657077,11.118901794638855
7,0,1,-3.0,1,-0.4826720981824022,0.0630078117636515,-0.8727210902602789,-1.5298979632433496,-1.1085962100877476,-1.2375230607477699,0.9151491980869179,-0.4518971765022496,-0.3720891460866155,-24.281083891345844,-1.592905775007001,25.281083891345844,1.2702754894546224,-0.23587511982746867,-0.27027548945462254,-6.832857322676872
9,0,1,2.7,-3,-0.5386930239567663,0.0630078117636515,-0.8727210902602789,0.07054028277343387,1.5697908149046154,1.397725840902015,-0.3451141639504389,-0.8424177447300328,-0.7572056785738256,1.119548208371962,0.007532471009782368,0.119548208371962,-1.7987313844294097,2.4425119051648942,-2.7987313844294097,-0.3345833227229168
11,0,2,-0.6,-1,-0.3706302466336739,0.0630078117636515,-0.8727210902602789,-0.17669722928812118,1.0497156644206613,0.8550017404564549,-0.18710935972874912,-0.6698982388400025,-0.7466193317485912,-2.804370193825011,-0.23970504105177268,3.804370193825011,-1.2028077195975588,1.9224367546809402,-2.202807719597559,8.380296031164596
11,0,3,-1.1,4,-0.2585883950849455,0.0630078117636515,-0.8727210902602789,-0.17669722928812118,1.0497156644206613,0.8043514352250682,-0.2471221502866091,-0.6335772196041719,-0.7994078989947044,-2.804370193825011,-0.23970504105177268,3.804370193825011,-1.2028077195975588,1.9224367546809402,-2.202807719597559,8.380296031164596
11,0,6,0.7,-26,-0.20256746931058137,0.0630078117636515,-0.8727210902602789,-0.17669722928812118,1.0497156644206613,0.7790262826093749,-0.277128545565539,-0.6154167099862565,-0.8258021826177612,-2.804370193825011,-0.23970504105177268,3.804370193825011,-1.2028077195975588,1.9224367546809402,-2.202807719597559,8.380296031164596
11,0,1,-0.3,4,-0.5386930239567663,0.0630078117636515,-0.8727210902602789,-0.17669722928812118,1.0497156644206613,0.9309771983035349,-0.09709017389195918,-0.7243797676937486,-0.6674364808794211,-2.804370193825011,-0.23970504105177268,3.804370193825011,-1.2028077195975588,1.9224367546809402,-2.202807719597559,8.380296031164596
13,0,1,-2.7,-9,0.13355808533560365,0.0630078117636515,-0.8727210902602789,0.2819189190398013,-1.3946375428539222,-0.5453760632826241,0.6444159874523494,1.2150646938970622,-0.31060896314701253,4.474348674372424,0.21891110727614982,3.474348674372424,1.5980335051121404,-0.5219164525936433,-0.5980335051121405,2.0777769157166595
14,0,2,1.2,-4,-0.7067558012798588,0.0630078117636515,-0.8727210902602789,0.32645941739592893,-0.20938627490099118,0.5712196441938372,0.5497991174494852,0.30006755650579225,-0.19985304536963686,5.181253058279667,0.26345160563227743,4.181253058279667,0.23992347296035227,0.6633348153592877,-0.7600765270396478,-3.1780723032111156
14,0,3,1.2,-3,-0.7067558012798588,0.0630078117636515,-0.8727210902602789,0.32645941739592893,-0.20938627490099118,0.5712196441938372,0.5497991174494852,0.30006755650579225,-0.19985304536963686,5.181253058279667,0.26345160563227743,4.181253058279667,0.23992347296035227,0.6633348153592877,-0.7600765270396478,-3.1780723032111156
14,0,1,1.9,-2,-0.7067558012798588,0.0630078117636515,-0.8727210902602789,0.32645941739592893,-0.20938627490099118,0.5712196441938372,0.5497991174494852,0.30006755650579225,-0.19985304536963686,5.181253058279667,0.26345160563227743,4.181253058279667,0.23992347296035227,0.6633348153592877,-0.7600765270396478,-3.1780723032111156
15,0,2,1.7,-4,-0.5386930239567663,0.0630078117636515,-0.8727210902602789,2.0301334795178043,-0.08872883998871386,1.6409812979902418,0.33709223810024275,1.512393701326083,-0.044230807398973865,32.220345742731624,1.9671256677541529,31.220345742731627,0.10166918271936286,0.783992250271565,-0.8983308172806371,-28.046198706852163
15,0,3,1.6,-4,-0.5386930239567663,0.0630078117636515,-0.8727210902602789,2.0301334795178043,-0.08872883998871386,1.6409812979902418,0.33709223810024275,1.512393701326083,-0.044230807398973865,32.220345742731624,1.9671256677541529,31.220345742731627,0.10166918271936286,0.783992250271565,-0.8983308172806371,-28.046198706852163
15,0,1,1.6,-3,-0.6507348755054947,0.0630078117636515,-0.8727210902602789,2.0301334795178043,-0.08872883998871386,1.6916316032216285,0.3971050286581027,1.4760726820902526,0.008557759847139551,32.220345742731624,1.9671256677541529,31.220345742731627,0.10166918271936286,0.783992250271565,-0.8983308172806371,-28.046198706852163
19,0,1,1.5,-8,-0.6507348755054947,0.0630078117636515,-0.8727210902602789,1.2916293690621825,0.3996217263157189,1.5182317331232513,0.20262037540075156,0.6664289105258521,-0.2264547617071693,20.499511614642504,1.228621557298531,19.499511614642504,-0.45790313855774517,1.2723428165759978,-1.4579031385577452,-28.428399183330512
20,0,1,2.3,-1,-0.9308395043773156,0.0630078117636515,-0.8727210902602789,-1.0071133003345654,-0.4324985144586074,-0.30124839578622503,0.8248005522526434,-0.6056543310190441,-0.24636619320440717,-15.98394345311255,-1.0701211120982168,16.98394345311255,0.49557472517321627,0.4402225758016715,-0.5044252748267838,8.567130343978853
22,0,1,2.7,-3,-0.3706302466336739,0.0630078117636515,-0.8727210902602789,1.7747805376710226,2.609941115872523,3.0176003744352253,-0.9790528018291341,-0.15306743199440018,-0.8280806378851493,28.167626965500705,1.7117727259073712,27.16762696550071,-2.9905787140931115,3.482662206132802,-3.9905787140931115,-108.41455388094916
24,0,1,0.6,-5,-0.6507348755054947,0.0630078117636515,-0.8727210902602789,-0.629651449858909,-0.6925360897005843,-0.34548460576194384,0.7789523715173845,-0.09509047315249843,-0.2556477251334289,-9.99322833525458,-0.6926592616225604,10.993228335254578,0.7935365575891417,0.18018500055969455,-0.2064634424108583,2.269699765305249
0,1,1,1.3,1,-0.9308395043773156,-1.3370502970876579,-1.171807361004091,0.06903043537153107,-0.8228149148968149,0.1074325846620895,-0.01317853012688367,0.5901086160300666,0.4517979454583055,-0.05162889946765061,1.4060807324591889,-1.0516288994676506,0.7021759226634029,0.3489924461072762,-0.2978240773365971,0.3132004066844541
2,1,1,1.8,0,-0.9308395043773156,-1.3370502970876579,-1.171807361004091,1.5805764156012974,-1.0454070793039472,0.9268714572251292,0.028975239096184987,1.805015407167827,0.7413552881746333,-1.1821368418556013,2.9176267126889552,-2.182136841855601,0.8921322003030986,0.12640028170014395,-0.10786779969690141,0.23538229976850902
3,1,7,-3.3,-1,0.581725491530517,-1.3370502970876579,-1.171807361004091,-0.17858453854049944,0.3996217263157189,-0.001501729462212196,-1.3735373552061152,0.2063555239829117,-0.6005338561872388,0.13356605875597163,1.1584657585471585,-0.8664339412440284,-0.3410302235798327,1.57142908731981,-1.3410302235798326,1.161914101943635
