material_id,formula,formation_energy_per_atom
mp-11226,Tb3Al,-0.22897127000000203
mp-11229,YAl,-0.43783409500000103
mp-1183143,AlPd3,-0.601624332499998
mp-1183162,AlFe3,-0.198893174999999
mp-1183170,AlBi3,0.231929007499999
mp-1184060,Dy3Al,-0.224800076249998
mp-11843,DyAl,-0.444183152499999
mp-1184417,Gd3Al,-0.219808119999989
mp-1184840,K3Al,0.32343797775000005
mp-1185427,Lu3Al,-0.222120394999993
mp-1186381,Pa3Al,-0.12666282499998902
mp-1186489,Pm3Al,-0.20646039812500303
mp-12067,MnAl,-0.224589803965517
mp-1214819,AlC6,1.9432648325892852
mp-12753,GdAl,-0.371217619999999
mp-12793,NdAl,-0.388869833749996
mp-1471,Zr3Al,-0.318824856249999
mp-1487,AlNi,-0.6849011500000001
mp-188,AlPt3,-0.739235739999998
mp-1885,AlIr,-1.070602759999999
mp-2093,Pr3Al,-0.18774121874999802
mp-2413,Ce3Al,-0.23543659249999702
mp-2593,AlNi3,-0.42641977749999904
mp-2658,AlFe,-0.326887014999999
mp-284,AlCo,-0.556456129999999
mp-30338,Y3Al,-0.18167205500000302
mp-31434,Np3Al,0.23067552406251202
mp-331,ScAl,-0.46617776250000104
mp-364,AlRh,-1.17748661
mp-542569,AlRu,-0.728409132500001
mp-8039,AlF3,-3.85641041
mp-829,AlPd,-0.8978085199999991
mp-875,AlOs,-0.49013171
mp-975530,RbAl,0.658536436249999
mp-976358,Nd3Al,-0.20575865312499803
mp-978271,Mg3Al,0.021869511249999002
mp-978498,Sc3Al,-0.23661352124999901
mp-1387,AlV3,-0.169027858749999
mp-259,AlMo3,-0.258336353750003
mp-796,Nb3Al,-0.218436486249999
mp-1039010,MgAl,0.46102990250000003
mp-1094666,Mg3Al,0.07094717125000001
mp-1187947,Yb3Al,-0.094227358750003
mp-12777,AlCu3,-0.180917327499999
mp-1330,AlN,-1.507669534374999
mp-2018,AlFe3,-0.163539367499999
mp-672232,AlNi3,-0.35436974749999905
mp-8023,AlO,-1.5521156375
mp-973149,Mn3Al,-0.06714692844827601
mp-974270,Na3Al,0.180173110086206
mp-975052,Rb3Al,0.353391119374999
mp-988940,AlAs,-0.350628891249999
mp-999027,Ti3Al,-0.17853670874999802
mp-39008,AlBr4,-1.179652310999999
mp-1063660,CsAl,0.5085645310344821
mp-1067,LiAl,-0.20847878833333303
mp-1106356,AlH3,-0.063617624062499
mp-1207597,Yb4Al,0.530362027000001
mp-1207806,Y4Al,0.44887811533333405
mp-1208015,Tm4Al,0.49775804766666704
mp-1208233,U4Al,1.102748767500009
mp-1208289,Th4Al,0.7243711380000031
mp-1208467,Tb4Al,0.46758995750000104
mp-1208483,Sr4Al,0.320051477185182
mp-1208890,Sm4Al,0.45428691724999903
mp-1209129,Sc4Al,0.504860202
mp-1209724,Pr4Al,0.43061767366667103
mp-1209964,Nd4Al,0.434977592000001
mp-1210553,Lu4Al,0.508283378250007
mp-1210792,Li2Al,0.147406203888888
mp-1211397,La4Al,0.3681215425
mp-1212293,Ho4Al,0.481352507500008
mp-1212899,Dy4Al,0.474851671499999
mp-1212928,Er4Al,0.48857819516667206
mp-1213330,Eu4Al,0.307241868600004
mp-1214044,Ca4Al,0.324381848000001
mp-1214528,Ba4Al,0.303417706
mp-1214891,AlH12,0.10071363259615301
mp-31184,AlFe2,-0.10484484166666601
mp-568171,Nd2Al,0.32447934791666905
mp-1016233,Mg3Al,0.050327623749999
mp-1120783,AlC,0.411017916479166
mp-2646975,AlO3,-1.75555447125
mp-1094987,MgAl,0.044477772500000005
mp-16960,AlPt2,-0.923852272499999
mp-1106232,PrAl,-0.43777158833333
mp-11225,TbAl,-0.48557350312499903
mp-1188420,HoAl,-0.477974344374999
mp-1188739,ErAl,-0.46893102166666606
mp-16507,LuAl,-0.457800537083333
mp-16721,TmAl,-0.47079037250000105
mp-433,DyAl,-0.48227621624999906
mp-864637,NdAl,-0.45537945249999706
mp-978951,SmAl,-0.46962974687500003
mp-1182858,AlO2,-2.6712326983333323
mp-30550,AlAu2,-0.32969789800000204
