Solvent,Solute,Potential_ID,Alpha,Mu,Sigma,R_Squared
Cu,Mg,10,-1.3,-58,37,1.00
Cu,Mg,1,-1.2,-30,33,1.00
Cu,Mo,1,-2.2,-7,24,1.00
Cu,Ni,36,2.8,1,4,1.00
Cu,Ni,2,3.5,0,4,1.00
Cu,Ni,3,3.6,0,4,1.00
Cu,Ni,35,1.9,-7,10,1.00
Cu,Ni,37,1.9,1,2,1.00
Cu,Ni,28,2.2,0,10,1.00
Cu,Ni,1,3.6,0,5,1.00
Cu,Pb,38,-1.7,-11,32,1.00
Cu,Pb,1,-1.0,-58,43,1.00
Cu,Pd,2,-1.6,4,15,0.99
Cu,Pd,3,-1.7,6,16,1.00
Cu,Pd,1,-1.3,0,9,1.00
Cu,Pt,2,-1.2,4,12,1.00
Cu,Pt,1,-1.5,6,13,1.00
Cu,Pt,3,2.3,2,6,1.00
Cu,Si,10,-0.9,-23,16,1.00
Cu,Ta,39,-2.3,-31,51,1.00
Cu,Ta,1,-1.6,9,21,1.00
Cu,Ti,1,-1.7,-3,18,1.00
Cu,W,1,-1.9,-4,27,1.00
Cu,Zr,40,-1.6,22,38,1.00
Cu,Zr,41,-2.8,4,40,1.00
Cu,Zr,42,-2.4,2,33,1.00
Cu,Zr,1,-1.8,-5,28,1.00
Fe,Ag,1,-1.6,3,31,0.99
Fe,Al,12,1.3,-5,6,1.00
Fe,Al,10,0.9,-119,15,1.00
Fe,Al,1,-2.4,4,22,1.00
Fe,Au,1,-1.4,5,17,0.99
Fe,Co,1,-0.8,0,4,1.00
Fe,Cr,30,0.0,6,8,0.99
Fe,Cr,31,-1.3,4,9,0.99
Fe,Cr,32,1.2,-8,5,1.00
Fe,Cu,35,1.0,-6,4,1.00
Fe,Cu,10,1.2,-98,15,1.00
Fe,Cu,1,-1.7,-5,7,1.00
Fe,Mg,10,1.1,-50,33,1.00
Fe,Mg,1,-1.2,-16,49,1.00
Fe,Mn,43,0.7,-70,68,0.99
Fe,Mo,1,-0.0,4,24,0.98
Fe,Ni,35,2.9,-16,17,0.99
Fe,Ni,32,-1.5,-17,10,1.00
Fe,Ni,1,-0.0,-7,4,0.98
Fe,P,44,-1.3,-19,29,0.99
Fe,Pb,1,0.0,-77,43,0.99
Fe,Pd,1,-1.4,4,16,0.99
Fe,Pt,1,-1.1,13,9,1.00
Fe,Si,10,-1.1,-8,24,1.00
Fe,Si,43,-1.7,-124,68,1.00
Fe,Ta,1,-1.7,25,35,0.99
Fe,Ti,45,1.4,-17,15,1.00
Fe,Ti,1,-1.5,13,29,0.99
Fe,V,46,0.7,-4,17,0.99
Fe,W,34,-1.2,6,47,0.99
Fe,W,1,-1.0,31,33,0.99
Fe,Zr,1,-1.5,28,44,0.99
Mg,Ag,1,1.0,-3,8,1.00
Mg,Al,13,-0.4,-4,7,1.00
Mg,Al,14,-0.8,-2,6,1.00
Mg,Al,15,-0.3,-5,10,0.99
Mg,Al,10,1.0,-11,9,1.00
Mg,Al,16,-1.8,7,17,1.00
Mg,Al,1,-0.7,4,7,1.00
Mg,Au,1,0.7,-2,9,1.00
Mg,Co,1,-1.1,0,15,1.00
Mg,Cu,10,2.5,-7,21,1.00
Mg,Cu,1,-1.2,2,15,1.00
Mg,Fe,10,0.0,-20,15,1.00
Mg,Fe,1,-1.0,-2,16,1.00
Mg,Mo,1,2.5,2,16,1.00
Mg,Ni,1,-1.3,1,16,1.00
Mg,Pb,1,1.0,-2,4,0.99
Mg,Pd,1,0.7,-4,10,1.00
Mg,Pt,1,1.5,1,9,1.00
Mg,Si,10,2.4,-18,17,1.00
Mg,Ta,1,2.2,1,13,1.00
Mg,Ti,1,2.0,0,10,1.00
Mg,W,1,2.5,6,15,1.00
Mg,Zn,16,-1.8,4,24,1.00
Mg,Zr,1,1.9,5,11,1.00
Mo,Ag,1,-1.7,-19,23,1.00
Mo,Al,1,-1.5,-26,26,1.00
Mo,Au,1,-1.7,-23,24,1.00
Mo,Co,1,-2.9,12,47,1.00
Mo,Cu,1,-3.1,6,37,1.00
Mo,Fe,1,-2.1,16,45,0.99
Mo,Mg,1,-2.3,-8,55,1.00
Mo,Ni,1,-2.9,12,48,1.00
Mo,Pb,1,-1.7,-52,94,1.00
Mo,Pd,1,-1.0,-17,16,0.99
Mo,Pt,1,-1.0,-11,17,0.97
Mo,Ta,1,-2.6,4,15,1.00
Mo,Ti,1,-2.2,-10,19,1.00
Mo,W,1,2.3,1,8,1.00
Mo,Zr,1,-2.5,4,43,1.00
Nb,Al,17,1.3,-13,26,1.00
Nb,Ni,47,-0.2,-36,35,0.98
Nb,Ti,17,-1.7,-57,43,1.00
Nb,Zr,48,-2.0,11,21,0.98
Ni,Ag,2,-1.8,3,34,1.00
Ni,Ag,6,-2.4,-13,35,1.00
Ni,Ag,1,-1.9,-11,56,1.00
Ni,Al,18,0.5,-3,7,1.00
Ni,Al,19,-1.3,-6,16,0.99
Ni,Al,20,1.4,-5,11,1.00
Ni,Al,21,0.4,-17,29,1.00
Ni,Al,22,2.0,-2,4,1.00
Ni,Al,7,-2.0,-5,24,1.00
Ni,Au,2,-1.8,-8,39,1.00
Ni,Au,3,-1.7,-7,41,0.99
Ni,Au,1,-1.5,-3,27,1.00
Ni,Co,1,-2.1,10,25,0.99
Ni,Co,28,0.3,0,4,1.00
Ni,Co,29,0.9,-1,3,1.00
Ni,Cr,33,1.7,-11,13,1.00
Ni,Cr,49,-2.4,-1,13,1.00
Ni,Cr,50,-2.3,2,26,1.00
Ni,Cr,51,-1.9,1,16,1.00
Ni,Cr,28,1.5,-2,3,1.00
Ni,Cu,36,-3.0,5,14,1.00
Ni,Cu,2,-2.6,-2,6,1.00
Ni,Cu,3,-2.8,-2,7,1.00
Ni,Cu,35,-2.1,-3,3,1.00
Ni,Cu,37,0.0,-2,8,1.00
Ni,Fe,32,0.0,-4,5,1.00
Ni,Fe,35,3.2,-4,12,1.00
Ni,Fe,49,1.1,5,6,1.00
Ni,Fe,50,1.3,2,10,1.00
Ni,Fe,51,1.1,5,6,1.00
Ni,Fe,28,1.5,-3,8,1.00
Ni,Mg,1,-1.1,-41,62,1.00
Ni,Mo,1,-1.6,3,31,1.00
Ni,Nb,47,0.0,-18,26,0.96
Ni,Pb,1,0.0,-129,62,1.00
Ni,Pd,2,-1.4,8,31,1.00
Ni,Pd,3,-1.7,-2,31,0.99
Ni,Pd,52,-1.6,10,25,1.00
Ni,Pd,1,-1.5,1,25,1.00
Ni,Pt,2,-1.3,-6,28,1.00
Ni,Pt,3,-1.7,-1,29,0.99
Ni,Pt,1,-1.2,7,12,1.00
Ni,Ta,1,-1.1,8,27,1.00
Ni,Ti,53,-2.1,11,30,1.00
Ni,V,53,-1.6,19,45,1.00
Ni,W,1,-1.2,6,32,1.00
Ni,Zr,54,-2.9,9,47,0.99
Ni,Zr,55,-2.4,-9,47,0.99
Ni,Zr,1,-1.5,-1,44,0.99
Pd,Ag,2,-0.8,1,2,1.00
Pd,Ag,3,-1.2,1,2,1.00
Pd,Ag,1,-2.1,3,10,1.00
Pd,Al,1,-2.0,-2,6,1.00
Pd,Au,2,0.0,-3,3,0.99
Pd,Au,3,-1.7,-1,4,1.00
Pd,Au,1,0.0,-4,3,1.00
Pd,Co,1,1.4,-7,14,1.00
Pd,Cu,2,0.8,-12,12,1.00
Pd,Cu,3,0.6,-14,15,1.00
Pd,Cu,1,-1.0,2,7,1.00
Pd,Fe,1,2.7,-4,14,1.00
Pd,Mg,1,-2.2,1,27,1.00
Pd,Mo,1,0.0,-9,11,1.00
Pd,Ni,2,0.6,-16,16,1.00
Pd,Ni,3,-0.0,-11,16,1.00
Pd,Ni,52,-0.7,6,13,1.00
Pd,Ni,1,0.8,-7,11,1.00
Pd,Pb,1,-2.0,-24,42,1.00
Pd,Pt,2,2.3,-1,3,1.00
Pd,Pt,3,2.5,-2,3,1.00
Pd,Pt,1,2.2,-1,6,1.00
Pd,Ta,1,-1.3,1,15,1.00
Pd,Ti,1,-1.4,0,10,1.00
Pd,W,1,0.6,-15,15,1.00
Pd,Zr,1,-1.6,-2,24,1.00
Pt,Ag,2,1.2,-1,3,1.00
Pt,Ag,3,0.7,0,2,1.00
Pt,Ag,1,-1.7,9,12,0.99
Pt,Al,1,-3.1,0,5,1.00
Pt,Au,2,-2.8,3,8,1.00
Pt,Au,3,-2.8,2,8,1.00
Pt,Au,26,-1.4,4,12,1.00
Pt,Au,1,0.0,-9,8,0.97
Pt,Co,1,1.6,1,19,1.00
Pt,Cu,2,-1.0,1,17,1.00
Pt,Cu,3,-0.5,-4,15,1.00
Pt,Cu,1,1.0,4,13,1.00
Pt,Fe,1,1.8,7,17,1.00
Pt,Mg,1,-2.6,6,31,1.00
Pt,Mo,1,-1.4,6,16,1.00
Pt,Ni,2,-1.2,-1,22,1.00
Pt,Ni,3,-0.8,-4,21,1.00
Pt,Ni,1,1.2,-1,18,1.00
Pt,Pb,1,-0.9,-83,47,1.00
Pt,Pd,2,-2.6,2,3,1.00
Pt,Pd,3,-2.4,2,3,1.00
Pt,Pd,1,0.0,2,4,0.99
Pt,Ta,1,-2.2,2,19,1.00
Pt,Ti,1,-0.0,-4,8,0.99
Pt,W,1,-1.3,2,20,1.00
Pt,Zr,1,-1.9,-13,28,1.00
Re,W,56,-2.6,-16,31,1.00
Re,W,57,-1.8,5,4,0.99
Ta,Ag,1,-1.8,-6,12,1.00
Ta,Al,1,0.0,-24,14,0.98
Ta,Au,1,-1.7,-11,17,1.00
Ta,Co,1,-1.4,-1,44,0.99
Ta,Cu,39,-1.1,4,55,1.00
Ta,Cu,1,-1.7,3,35,0.99
Ta,Fe,1,-0.2,-20,35,0.99
Ta,Mg,1,-1.6,11,33,0.99
Ta,Mo,1,3.1,-7,17,0.99
Ta,Ni,1,-1.5,-1,47,0.99
Ta,Pb,1,-1.8,-7,81,1.00
Ta,Pd,1,-1.9,-6,12,1.00
Ta,Pt,1,-2.2,-2,18,1.00
Ta,Ti,1,-1.8,-5,10,1.00
Ta,W,1,2.9,-4,18,1.00
Ta,Zr,1,-1.6,5,21,0.99
Ti,Ag,1,-2.7,-1,4,1.00
Ti,Al,17,1.4,-5,9,1.00
Ti,Al,25,2.2,-5,7,1.00
Ti,Al,1,-1.3,-6,7,1.00
Ti,Au,1,0.0,-7,3,1.00
Ti,Co,1,-1.3,3,25,1.00
Ti,Cu,1,-1.0,0,18,1.00
Ti,Fe,45,-1.3,88,53,1.00
Ti,Fe,1,1.1,-23,29,1.00
Ti,Mg,1,-2.0,2,26,1.00
Ti,Mo,1,2.0,2,8,1.00
Ti,Nb,17,-2.0,-74,33,1.00
Ti,Ni,53,-1.4,-96,50,1.00
Ti,Ni,1,-0.4,-6,20,1.00
Ti,Pb,1,-0.8,-53,46,1.00
Ti,Pd,1,-0.0,-2,5,1.00
Ti,Pt,1,0.5,-6,9,1.00
Ti,Ta,1,1.9,-10,9,1.00
Ti,V,53,1.3,24,44,1.00
Ti,W,1,1.8,2,12,1.00
Ti,Zr,1,-0.8,0,16,1.00
V,Fe,46,3.5,-6,40,1.00
V,Ni,53,2.6,-32,35,1.00
V,Ti,53,-0.7,8,4,0.98
W,Ag,1,-2.4,-24,44,1.00
W,Al,1,-2.0,-34,44,1.00
W,Au,1,-2.0,-38,45,1.00
W,Co,1,-2.1,4,57,1.00
W,Cr,34,-1.0,-2,21,1.00
W,Cu,1,-2.2,1,46,1.00
W,Fe,34,-0.7,-7,40,1.00
W,Fe,1,-1.7,12,58,1.00
W,Mg,1,-2.5,-16,73,1.00
W,Mo,1,-1.9,-5,7,1.00
W,Ni,1,-2.3,7,60,1.00
W,Pb,1,-2.1,-80,151,1.00
W,Pd,1,-1.9,-26,34,1.00
W,Pt,1,-1.5,-24,27,1.00
W,Re,56,-1.1,-8,14,1.00
W,Re,57,-1.6,-2,28,1.00
W,Ta,1,-2.1,-6,18,1.00
W,Ti,1,-2.2,-16,31,1.00
W,Zr,1,-2.6,-5,57,1.00
Zr,Ag,1,-1.4,3,12,1.00
Zr,Al,1,0.0,-12,10,0.97
Zr,Au,1,-2.4,-2,12,1.00
Zr,Co,1,-2.1,-5,36,1.00
Zr,Cu,40,-1.3,-14,48,1.00
Zr,Cu,41,-1.6,-18,55,1.00
Zr,Cu,42,-2.6,-15,48,0.99
Zr,Cu,1,-1.1,0,29,1.00
Zr,Fe,1,0.0,-25,27,0.99
Zr,Mg,1,1.2,2,2,1.00
Zr,Mo,1,2.4,-1,24,1.00
Zr,Nb,48,0.0,0,10,0.98
Zr,Ni,54,-2.3,-24,54,1.00
Zr,Ni,55,-2.3,-13,58,1.00
Zr,Ni,1,-2.0,-9,37,1.00
Zr,Pb,1,-1.2,-15,37,0.99
Zr,Pd,1,-1.2,4,16,1.00
Zr,Pt,1,-1.3,3,17,1.00
Zr,Ta,1,1.9,-7,13,1.00
Zr,Ti,1,0.0,-3,12,1.00
Zr,W,1,2.8,1,24,1.00
